0;Chi va piano, va sano e va lontano;Who goes slow, goes far and safely
1;Tra il dire e il fare c'è di mezzo il mare;Between saying and doing lays the sea
2;Fra moglie e marito non metterci il dito;Between wife and husband do not put your finger
3;Gallina vecchia fa buon brodo;Old chicken makes good soup
4;Chi semina vento raccoglie tempesta;Who seeds wind shall harvest storm
5;L'erba del vicino è sempre più verde;The grass of the neighbor is always greener
6;Non c'è due senza tre;There's no two without three
7;Nella bottiglia piccola sta il buon vino;Small bottle holds good wine
8;Rosso di sera, bel tempo si spera;Red in the evening, good weather we hope
9;Non dire gatto finchè non l'hai nel sacco;Don't say cat until you have it in the bag
10;Il gioco non vale la candela;The game is not worth the candle
11;Se mia nonna avesse avuto le ruote, sarebbe stata una bicicletta;If my grandmother had wheels she would have been a bike
12;A caval donato non si guarda in bocca;You don't look in the mouth of the given horse
13;A ciascuno il suo;To each his own
14;A mali estremi, estremi rimedi;To extreme evil, extreme remedy
15;A piccione ingordo scoppia il gozzo;The greedy pigeon will see its goiter blow
16;Affogare in un bicchier d'acqua;To drown in a glass of water
17;Anche l'occhio vuole la sua parte;The eye want its share too
18;Allevare la serpe in seno;To breed the snake on the breast
19;Aprile, ogni goccia un barile;April, every drop's a barrel
20;Aver la botte piena e la moglie ubriaca;To have full barrel and drunk wife
21;Aver le mani bucate;Hands full of holes
22;Battere il ferro quando e caldo;Hit the iron while it's hot
23;Buon sangue non mente;Good blood never lies
24;Cadere dalla padella alla brace;To fall from the pan to the ember
25;Cadere fra le braccia di morfeo;To fall between Morpheus's arms
26;Cambiare le carte in tavola;To change cards on the table
27;Camminare sul filo del rasoio;To walk on the razor's edge
28;A ben condire l'insalata ci vuole un avaro per l'aceto, un giusto per il sale e uno strambo per l'olio;To properly season the salad you need a stingy for the vinegar, a fair one for the salt and a wacky for the oil
29;A bocce ferme si saprà chi ha vinto;With still bowls we'll know who won
30;A buon intenditor, poche parole;To good expert, few words
31;A carnevale ogni scherzo vale;At carnival, every joke is good
32;A cattivo lavoratore ogni attrezzo da dolore;To bad worker every tool is painful
33;A chi ha paura non basta l'armatura;To who's afraid, armor is not enough
34;A chi prende moglie gli ci vogliono due cervelli;Who takes wife needs two brains
35;A Natale con i tuoi, a Pasqua con chi vuoi;Christmas with your parents, Easter with whoever you want
36;A pensar male c'è sempre tempo;To think bad there's always time
37;A tavola non si invecchia;You don't get older while sitting at a table
38;Al cuor non si comanda;You can't command heart
39;Al povero mancano tante cose, all'avaro tutte;The poor miss many things, the stingy miss them all
40;Amar la vicina è un gran vantaggio, si vede spesso e non si fa viaggio;To love the neighbour is a great advantage, you see her often and you don't have to commute
41;Anno nuovo, vita nuova;New year, new life
42;Campa caval che l'erba cresce;Live horse while the grass grows
43;Can che abbaia non morde;Barking dog doesn't bite
44;Canta che ti passa;Sing and you'll be fine
45;Fare il passo più lungo della gamba;To walk a step longer than the leg
46;Chi capisce, patisce;He who understands, suffers
47;Chi di spada ferisce, di spada perisce;He who injures by sword, by sword will perish
